Session,User,Query,Code,Page_number,Ranking_position,c_i,Sum_c,Jaccard Similarity Coeficient,c_i + Jaccard,Sum_(c_i + Jaccard),m_i,gamma_r_ij,p_i,m_i/p_i,log_2 m_i/p_i,H_parcial,H_Total,D_kg,D_kg_round
,,,C6,,,0,7,"0,2","0,2","6,119298246","0,03268348624",0,0,NA,,,,,
,,Código Civil,TE1,,,0,7,0,0,"7,119298246",0,0,0,NA,,,,,
,,,SMI5,1,1,1,8,0,1,"7,119298246","0,1404632824",1,1,"0,1404632824","-2,831735041","-2,831735041","-9,974179009","0,1097417901","0,11"
,,,SMI8,,,0,8,0,0,"7,119298246",0,0,0,NA,,,,,
,,,C6,,,0,8,0,0,"7,119298246",0,0,0,NA,,,,,
,,esbulho,TE1,,,0,8,0,0,"8,119298246",0,0,0,NA,,,,,
,,,SMI5,1,2,1,9,0,1,"8,119298246","0,1231633535",1,1,"0,1231633535","-3,02135504","-3,02135504","-12,99553405","0,1399553405","0,14"
,,,SMI6,,,0,9,0,0,"8,119298246",0,0,0,NA,,,,,
2_2,USER_2,lei do inquilinato,SMI3,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI1,,,0,1,0,0,1,0,0,0,NA,,,,,
,,prazo contrato de locação de imóvel vênia conjugal,PT1,1,1,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,,SMI6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,PT3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,E3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,E4,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,SMI8,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,E3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,C6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,"locador cobrança do aluguel, tributos, encargos e despesas ordinárias do condomínio tudo junto",PT1,,,0,2,0,0,3,0,0,0,NA,,,,,
,,,SMI6,1,6,1,3,0,1,3,"0,3333333333","0,54","0,54","0,6172839506","-0,6959938131","-0,3758366591","-1,375836659","0,02375836659","0,02"
,,,PT3,,,0,3,0,0,3,0,0,0,NA,,,,,
,,lei da locação,TE1,,,0,3,0,0,3,0,0,0,NA,,,,,
,,,PT3,,,0,3,0,0,3,0,0,0,NA,,,,,
,,,SMI7,,,0,3,0,0,3,0,0,0,NA,,,,,
,,"Art. 25....Atribuída ao locatário a responsabilidade pelo pagamento dos tributos, encargos e despesas ordinárias de condomínio, o locador poderá cobrar tais verbas juntamente com o aluguel do mês a que se refiram...Se o locador antecipar os pagamentos, a ele pertencerão as vantagens daí advindas, salvo se o locatário reembolsá- lo integralmente.",TE1,1,2,1,4,0,1,4,"0,25",1,1,"0,25",-2,-2,"-3,375836659","0,04375836659","0,04"
,,,SMI6,,,0,4,0,0,4,0,0,0,NA,,,,,
,,lei da locação,TE1,,,0,4,0,0,4,0,0,0,NA,,,,,
,,,E4,,,0,4,0,0,4,0,0,0,NA,,,,,
,,,PT3,,,0,4,0,0,4,0,0,0,NA,,,,,
,,,SMI8,,,0,4,0,0,4,0,0,0,NA,,,,,
,,,C6,,,0,4,0,0,4,0,0,0,NA,,,,,
,,locador não concede o direito de preferência ao locatário na venda,PT1,,,0,4,0,0,4,0,0,0,NA,,,,,
,,direito de preferência do locatário não respeitado,TE1,1,1,1,5,"0,3846153846","1,384615385","5,384615385","0,2571428571",1,1,"0,2571428571","-1,959358016","-1,959358016","-5,335194675","0,06335194675","0,06"
,,,SMI6,,,0,5,"0,3846153846","0,3846153846","5,384615385","0,07142857143",0,0,NA,,,,,
,,,E4,,,0,5,"0,3846153846","0,3846153846","5,384615385","0,07142857143",0,0,NA,,,,,
2_3,USER_2,indenização atraso de voo danos morais,SMI3,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,dano moral presumido extravio de bagagem,PT1,1,1,1,2,"0,09090909091","1,090909091","2,090909091","0,5217391304",1,1,"0,5217391304","-0,9385994553","-0,9385994553","-0,9385994553","0,01938599455","0,02"
,,,C6,,,0,2,"0,09090909091","0,09090909091","2,090909091","0,04347826087",0,0,NA,,,,,
,,,SMI5,1,4,1,3,"0,09090909091","1,090909091","2,090909091","0,5217391304","0,82","0,82","0,6362672322","-0,6522952702","-0,5348821215","-1,473481577","0,02473481577","0,02"
,,,SMI8,,,0,3,"0,09090909091","0,09090909091","2,090909091","0,04347826087",0,0,NA,,,,,
,,,E4,,,0,3,"0,09090909091","0,09090909091","2,090909091","0,04347826087",0,0,NA,,,,,
3_1,USER_3,Definição de Possuidor segundo o Código Civil,SMI2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,PT3,1,1,1,2,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI8,,,0,2,0,0,1,0,0,0,NA,,,,,
,,O que é detenção?,SMI2,,,0,2,0,0,1,0,0,0,NA,,,,,
,,O que é detenção? Possessória,PT1,,,0,2,"0,8","0,8","1,8","0,4444444444",0,0,NA,,,,,
,,,SMI6,,,0,2,"0,8","0,8","1,8","0,4444444444",0,0,NA,,,,,
3_2,USER_3,"locação de imóvel, qual situação exige vênia conjugal?",SMI2,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI5,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,"pode o locador realizar a cobrança do aluguel, tributos, encargos e despesas ordinárias do condomínio",SMI2,,,0,1,0,0,1,0,0,0,NA,,,,,
,,"cobrança do aluguel, tributos, encargos e despesas ordinárias do condomínio",SMI2,,,0,1,"0,6428571429","0,6428571429","1,642857143","0,3913043478",0,0,NA,,,,,
,,,SMI6,,,0,1,"0,6428571429","0,6428571429","1,642857143","0,3913043478",0,0,NA,,,,,
,,cobrança despesas ordinários do condomínio,SMI2,,,0,1,"0,4","0,4","2,042857143","0,1958041958",0,0,NA,,,,,
,,,SMI6,,,0,1,"0,4","0,4","2,042857143","0,1958041958",0,0,NA,,,,,
,,autorização de cobrança pelo locador,TE1,1,1,1,2,"0,1111111111","1,111111111","3,153968254","0,3522898842",1,1,"0,3522898842","-1,505165045","-1,505165045","-1,505165045","0,02505165045","0,03"
,,,SMI6,,,0,2,"0,1111111111","0,1111111111","3,153968254","0,03522898842",0,0,NA,,,,,
,,,SMI5,,,0,2,"0,1111111111","0,1111111111","3,153968254","0,03522898842",0,0,NA,,,,,
,,,C6,,,0,2,"0,1111111111","0,1111111111","3,153968254","0,03522898842",0,0,NA,,,,,
,,autorização de cobrança de depesas do locatário,TE1,,,0,2,"0,375","0,375","4,528968254","0,08280031543",0,0,NA,,,,,
,,,SMI6,1,1,1,3,"0,375","1,375","4,528968254","0,3036011566",1,1,"0,3036011566","-1,719750808","-1,719750808","-3,224915854","0,04224915854","0,04"
,,,D4,,,0,3,"0,375","0,375","4,528968254","0,08280031543",0,0,NA,,,,,
,,,D1,,,0,3,"0,375","0,375","4,528968254","0,08280031543",0,0,NA,,,,,
3_3,USER_3,danos morais por atraso em voo,SMI3,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI6,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,Convenção de Montreal,TE1,,,0,1,0,0,2,0,0,0,NA,,,,,
,,,SMI6,1,1,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,dano moral em atraso de voo nacional,SMI3,,,0,2,"0,1111111111","0,1111111111","3,111111111","0,03571428571",0,0,NA,,,,,
,,,SMI6,1,1,1,3,"0,1111111111","1,111111111","3,111111111","0,3571428571",1,1,"0,3571428571","-1,485426827","-1,485426827","-2,485426827","0,03485426827","0,03"
4_1,USER_4,detenção,C4,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,,SMI2,,,0,0,0,0,0,NA,0,0,NA,,,,,
,,detenção possessória,PT1,,,0,0,"0,5","0,5","0,5",1,0,0,NA,,,,,
,,detenção bem imóvel,TE1,,,0,0,"0,25","0,25","1,75","0,1428571429",0,0,NA,,,,,
,,,SMI6,1,2,1,1,"0,25","1,25","1,75","0,7142857143",1,1,NA,,,,,
,,,SMI7,,,0,1,"0,25","0,25","1,75","0,1428571429",0,0,NA,,,,,
,,,SMI5,1,6,1,2,"0,25","1,25","1,75","0,7142857143","0,22","0,22","3,246753247","1,698997744","0,3737795037","0,3737795037","0,006262204963","0,01"
,,,SMI6,,,0,2,"0,25","0,25","1,75","0,1428571429",0,0,NA,,,,,
,,,C6,,,0,2,"0,25","0,25","1,75","0,1428571429",0,0,NA,,,,,
,,Artigo 1.208 do código civil,SMI2,,,0,2,0,0,"2,75",0,0,0,NA,,,,,
,,,SMI5,1,4,1,3,0,1,"2,75","0,3636363636","0,82","0,82","0,44345898","-1,173127433","-0,9619644955","-0,5881849918","0,01588184992","0,02"
,,,SMI6,,,0,3,0,0,"2,75",0,0,0,NA,,,,,
,,,C6,,,0,3,0,0,"2,75",0,0,0,NA,,,,,
,,Código civil 1.208,SMI2,,,0,3,"0,3333333333","0,3333333333","4,083333333","0,08163265306",0,0,NA,,,,,
,,,SMI5,1,1,1,4,"0,3333333333","1,333333333","4,083333333","0,3265306122",1,1,"0,3265306122","-1,614709844","-1,614709844","-2,202894836","0,03202894836","0,03"
,,,SMI8,,,0,4,"0,3333333333","0,3333333333","4,083333333","0,08163265306",0,0,NA,,,,,
,,,SMI7,,,0,4,"0,3333333333","0,3333333333","4,083333333","0,08163265306",0,0,NA,,,,,
,,,E4,,,0,4,"0,3333333333","0,3333333333","4,083333333","0,08163265306",0,0,NA,,,,,
,,jus possidendi e jus possessionis,SMI3,1,1,1,5,0,1,"5,083333333","0,1967213115",1,1,"0,1967213115","-2,345774837","-2,345774837","-4,548669673","0,05548669673","0,06"
,,,SMI6,1,2,1,6,0,1,"5,083333333","0,1967213115","0,98","0,98","0,2007360321","-2,316628491","-2,270295921","-6,818965594","0,07818965594","0,08"
,,,E4,,,0,6,0,0,"5,083333333",0,0,0,NA,,,,,
,,,SMI5,1,1,1,7,0,1,"5,083333333","0,1967213115",1,1,"0,1967213115","-2,345774837","-2,345774837","-9,164740431","0,1016474043","0,10"
,,,SMI7,,,0,7,0,0,"5,083333333",0,0,0,NA,,,,,
,,,E4,,,0,7,0,0,"5,083333333",0,0,0,NA,,,,,
,,,C4,,,0,7,0,0,"5,083333333",0,0,0,NA,,,,,
,,jus possidendi,SMI2,,,0,7,"0,5","0,5","5,583333333","0,08955223881",0,0,NA,,,,,
,,jus possessioni,SMI2,,,0,7,"0,3333333333","0,3333333333","5,916666667","0,05633802817",0,0,NA,,,,,
,,jus possessionis,TE1,1,5,1,8,"0,3333333333","1,333333333","7,25","0,183908046","0,69","0,69","0,2665334","-1,907611763","-1,316252116","-10,48099255","0,1148099255","0,11"
,,,SMI6,,,0,8,"0,3333333333","0,3333333333","7,25","0,04597701149",0,0,NA,,,,,
,,,SMI8,,,0,8,"0,3333333333","0,3333333333","7,25","0,04597701149",0,0,NA,,,,,
,,,E3,,,0,8,"0,3333333333","0,3333333333","7,25","0,04597701149",0,0,NA,,,,,
4_2,USER_4,Lei do inquilinato,C4,,,0,0,0,0,1,0,0,0,NA,,,,,
,,,SMI3,1,1,1,1,0,1,1,1,1,1,1,0,0,0,"0,01","0,01"
,,,SMI6,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI7,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,E4,,,0,1,0,0,1,0,0,0,NA,,,,,
,,,SMI8,,,0,1,0,0,1,0,0,0,NA,,,,,
,,vênia conjugal contrato de locação,SMI2,,,0,1,0,0,2,0,0,0,NA,,,,,
,,,SMI6,1,2,1,2,0,1,2,"0,5",1,1,"0,5",-1,-1,-1,"0,02","0,02"
,,,PT3,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,C8,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,SMI6,,,0,2,0,0,2,0,0,0,NA,,,,,
,,,SMI5,1,1,1,3,0,1,2,"0,5",1,1,"0,5",-1,-1,-2,"0,03","0,03"
,,,SMI7,,,0,3,0,0,2,0,0,0,NA,,,,,
,,,E4,,,0,3,0,0,2,0,0,0,NA,,,,,
,,art. 3º da Lei 8.245/91,SMI2,,,0,3,0,0,3,0,0,0,NA,,,,,
,,,SMI5,1,1,1,4,0,1,3,"0,3333333333",1,1,"0,3333333333","-1,584962501","-1,584962501","-3,584962501","0,04584962501","0,05"
,,,SMI6,,,0,4,0,0,3,0,0,0,NA,,,,,
,,,PT3,,,0,4,0,0,3,0,0,0,NA,,,,,
,,,E3,,,0,4,0,0,3,0,0,0,NA,,,,,
